filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
cpython\Lib\urllib\request.py,blacklist,B402,HIGH,HIGH,A FTP-related module is being imported.  FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,2050,[2050],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b402-import-ftplib
cpython\Lib\urllib\request.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",2337,[2337],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\urllib\request.py,blacklist,B402,HIGH,HIGH,A FTP-related module is being imported.  FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,2372,[2372],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b402-import-ftplib
cpython\Lib\urllib\request.py,blacklist,B402,HIGH,HIGH,A FTP-related module is being imported.  FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,2407,[2407],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b402-import-ftplib
cpython\Lib\urllib\request.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,2409,[2409],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\urllib\request.py,blacklist,B402,HIGH,HIGH,A FTP-related module is being imported.  FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,2416,[2416],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b402-import-ftplib
cpython\Mac\BuildScript\build-installer.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",498,[498],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Mac\BuildScript\build-installer.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",509,[509],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Mac\BuildScript\build-installer.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",717,[717],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Mac\BuildScript\build-installer.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",723,[723],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Mac\BuildScript\build-installer.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",729,[729],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Mac\BuildScript\build-installer.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",735,[735],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Mac\BuildScript\build-installer.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",780,"[780, 781, 782]",https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Mac\BuildScript\build-installer.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",1588,[1588],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\PCbuild\prepare_ssl.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",90,[90],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\PCbuild\prepare_ssl.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",92,[92],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Tools\scripts\dutree.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",8,[8],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Tools\scripts\get-remote-certificate.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",19,[19],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Tools\scripts\nm2def.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",45,[45],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Tools\scripts\which.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",51,[51],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\setup.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",99,[99],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
